symboling,normalized-losses,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,peak-rpm,city-mpg,highway-mpg,price,class
2,164,4,99.8,176.6,66.2,54.3,2337,4,109,3.19,3.4,10,5500,24,30,13950,102
2,164,4,99.4,176.6,66.4,54.3,2824,5,136,3.19,3.4,8,5500,18,22,17450,115
1,158,4,105.8,192.7,71.4,55.7,2844,5,136,3.19,3.4,8.5,5500,19,25,17710,110
1,158,4,105.8,192.7,71.4,55.9,3086,5,131,3.13,3.4,8.3,5500,17,20,23875,140
2,192,2,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,5800,23,29,16430,101
0,192,4,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,5800,23,29,16925,101
0,188,2,101.2,176.8,64.8,54.3,2710,6,164,3.31,3.19,9,4250,21,28,20970,121
0,188,4,101.2,176.8,64.8,54.3,2765,6,164,3.31,3.19,9,4250,21,28,21105,121
2,121,2,88.4,141.1,60.3,53.2,1488,3,61,2.91,3.03,9.5,5100,47,53,5151,48
1,98,2,94.5,155.9,63.6,52,1874,4,90,3.03,3.11,9.6,5400,38,43,6295,70
0,81,4,94.5,158.8,63.6,52,1909,4,90,3.03,3.11,9.6,5400,38,43,6575,70
1,118,2,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.41,5500,37,41,5572,68
1,118,2,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.4,5500,31,38,6377,68
1,118,2,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,5500,24,30,7957,102
1,148,4,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,5500,31,38,6229,68
1,148,4,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,5500,31,38,6692,68
1,148,4,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,5500,31,38,7609,68
-1,110,4,103.3,174.6,64.6,59.8,2535,4,122,3.34,3.46,8.5,5000,24,30,8921,88
3,145,2,95.9,173.2,66.3,50.2,2811,4,156,3.6,3.9,7,5000,19,24,12964,145
2,137,2,86.6,144.6,63.9,50.8,1713,4,92,2.91,3.41,9.6,4800,49,54,6479,58
2,137,2,86.6,144.6,63.9,50.8,1819,4,92,2.91,3.41,9.2,6000,31,38,6855,76
1,101,2,93.7,150,64,52.6,1837,4,79,2.91,3.07,10.1,5500,38,42,5399,60
1,101,2,93.7,150,64,52.6,1940,4,92,2.91,3.41,9.2,6000,30,34,6529,76
1,101,2,93.7,150,64,52.6,1956,4,92,2.91,3.41,9.2,6000,30,34,7129,76
0,110,4,96.5,163.4,64,54.5,2010,4,92,2.91,3.41,9.2,6000,30,34,7295,76
0,78,4,96.5,157.1,63.9,58.3,2024,4,92,2.92,3.41,9.2,6000,30,34,7295,76
0,106,2,96.5,167.5,65.2,53.3,2236,4,110,3.15,3.58,9,5800,27,33,7895,86
0,106,2,96.5,167.5,65.2,53.3,2289,4,110,3.15,3.58,9,5800,27,33,9095,86
0,85,4,96.5,175.4,65.2,54.1,2304,4,110,3.15,3.58,9,5800,27,33,8845,86
0,85,4,96.5,175.4,62.5,54.1,2372,4,110,3.15,3.58,9,5800,27,33,10295,86
0,85,4,96.5,175.4,65.2,54.1,2465,4,110,3.15,3.58,9,5800,24,28,12945,101
1,107,2,96.5,169.1,66,51,2293,4,110,3.15,3.58,9.1,5500,25,31,10345,100
0,145,4,113,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,4750,15,19,32250,176
1,104,2,93.1,159.1,64.2,54.1,1890,4,91,3.03,3.15,9,5000,30,31,5195,68
1,104,2,93.1,159.1,64.2,54.1,1900,4,91,3.03,3.15,9,5000,31,38,6095,68
1,104,2,93.1,159.1,64.2,54.1,1905,4,91,3.03,3.15,9,5000,31,38,6795,68
1,113,4,93.1,166.8,64.2,54.1,1945,4,91,3.03,3.15,9,5000,31,38,6695,68
1,113,4,93.1,166.8,64.2,54.1,1950,4,91,3.08,3.15,9,5000,31,38,7395,68
1,129,2,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,4800,26,32,8845,84
0,115,4,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,4800,26,32,8495,84
1,129,2,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,4800,26,32,10595,84
0,115,4,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,4800,26,32,10245,84
0,115,4,98.8,177.8,66.5,55.5,2425,4,122,3.39,3.39,8.6,4800,26,32,11245,84
0,118,4,104.9,175,66.1,54.4,2670,4,140,3.76,3.16,8,5000,19,27,18280,120
-1,93,4,110,190.9,70.3,56.5,3515,5,183,3.58,3.64,21.5,4350,22,25,25552,123
-1,93,4,110,190.9,70.3,58.7,3750,5,183,3.58,3.64,21.5,4350,22,25,28248,123
0,93,2,106.7,187.5,70.3,54.9,3495,5,183,3.58,3.64,21.5,4350,22,25,28176,123
-1,93,4,115.6,202.6,71.7,56.3,3770,5,183,3.58,3.64,21.5,4350,22,25,31600,123
3,142,2,96.6,180.3,70.5,50.8,3685,8,234,3.46,3.1,8.3,4750,16,18,35056,155
2,161,2,93.7,157.3,64.4,50.8,1918,4,92,2.97,3.23,9.4,5500,37,41,5389,68
2,161,2,93.7,157.3,64.4,50.8,1944,4,92,2.97,3.23,9.4,5500,31,38,6189,68
2,161,2,93.7,157.3,64.4,50.8,2004,4,92,2.97,3.23,9.4,5500,31,38,6669,68
1,161,2,93,157.3,63.8,50.8,2145,4,98,3.03,3.39,7.6,5500,24,30,7689,102
3,153,2,96.3,173,65.4,49.4,2370,4,110,3.17,3.46,7.5,5500,23,30,9959,116
3,153,2,96.3,173,65.4,49.4,2328,4,122,3.35,3.46,8.5,5000,25,32,8499,88
1,125,4,96.3,172.4,65.4,51.6,2365,4,122,3.35,3.46,8.5,5000,25,32,6989,88
1,125,4,96.3,172.4,65.4,51.6,2405,4,122,3.35,3.46,8.5,5000,25,32,8189,88
1,125,4,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,5500,23,30,9279,116
-1,137,4,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,5500,23,30,9279,116
1,128,2,94.5,165.3,63.8,54.5,1889,4,97,3.15,3.29,9.4,5200,31,37,5499,69
1,128,2,94.5,165.3,63.8,54.5,2017,4,103,2.99,3.47,21.9,4800,45,50,7099,55
1,128,2,94.5,165.3,63.8,54.5,1918,4,97,3.15,3.29,9.4,5200,31,37,6649,69
1,122,4,94.5,165.3,63.8,54.5,1938,4,97,3.15,3.29,9.4,5200,31,37,6849,69
1,103,4,94.5,170.2,63.8,53.5,2024,4,97,3.15,3.29,9.4,5200,31,37,7349,69
1,128,2,94.5,165.3,63.8,54.5,1951,4,97,3.15,3.29,9.4,5200,31,37,7299,69
1,128,2,94.5,165.6,63.8,53.3,2028,4,97,3.15,3.29,9.4,5200,31,37,7799,69
1,122,4,94.5,165.3,63.8,54.5,1971,4,97,3.15,3.29,9.4,5200,31,37,7499,69
1,103,4,94.5,170.2,63.8,53.5,2037,4,97,3.15,3.29,9.4,5200,31,37,7999,69
2,168,2,95.1,162.4,63.8,53.3,2008,4,97,3.15,3.29,9.4,5200,31,37,8249,69
0,106,4,97.2,173.4,65.2,54.7,2324,4,120,3.33,3.47,8.5,5200,27,34,8949,97
0,106,4,97.2,173.4,65.2,54.7,2302,4,120,3.33,3.47,8.5,5200,27,34,9549,97
0,128,4,100.4,181.7,66.5,55.1,3095,6,181,3.43,3.27,9,5200,17,22,13499,152
0,108,4,100.4,184.6,66.5,56.1,3296,6,181,3.43,3.27,9,5200,17,22,14399,152
0,108,4,100.4,184.6,66.5,55.1,3060,6,181,3.43,3.27,9,5200,19,25,13499,152
3,194,2,91.3,170.7,67.9,49.7,3071,6,181,3.43,3.27,9,5200,19,25,17199,160
3,194,2,91.3,170.7,67.9,49.7,3139,6,181,3.43,3.27,7.8,5200,17,23,19699,200
1,231,2,99.2,178.5,67.9,49.7,3139,6,181,3.43,3.27,9,5200,19,25,18399,160
0,161,4,107.9,186.7,68.4,56.7,3020,4,120,3.46,3.19,8.4,5000,19,24,11900,97
0,161,4,107.9,186.7,68.4,56.7,3197,4,152,3.7,3.52,21,4150,28,33,13200,95
0,161,4,107.9,186.7,68.4,56.7,3075,4,120,3.46,2.19,8.4,5000,19,24,15580,95
0,161,4,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21,4150,28,33,16900,95
0,161,4,107.9,186.7,68.4,56.7,3075,4,120,3.46,3.19,8.4,5000,19,24,16630,97
0,161,4,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21,4150,28,33,17950,95
0,161,4,108,186.7,68.3,56,3130,4,134,3.61,3.21,7,5600,18,24,18150,142
1,119,2,93.7,157.3,63.8,50.8,1918,4,90,2.97,3.23,9.4,5500,37,41,5572,68
1,119,2,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,5500,24,30,7957,102
1,154,4,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,5500,31,38,6229,68
1,154,4,93.7,167.3,63.8,50.8,1989,4,90,2.97,3.23,9.4,5500,31,38,6692,68
1,154,4,93.7,167.3,63.8,50.8,2191,4,98,2.97,3.23,9.4,5500,31,38,7609,68
-1,74,4,103.3,174.6,64.6,59.8,2535,4,122,3.35,3.46,8.5,5000,24,30,8921,88
3,186,2,94.5,168.9,68.3,50.2,2778,4,151,3.94,3.11,9.5,5500,19,27,22018,143
3,150,2,99.1,186.6,66.5,56.1,2658,4,121,3.54,3.07,9.31,5250,21,28,11850,110
2,104,4,99.1,186.6,66.5,56.1,2695,4,121,3.54,3.07,9.3,5250,21,28,12170,110
3,150,2,99.1,186.6,66.5,56.1,2707,4,121,2.54,2.07,9.3,5250,21,28,15040,110
2,104,4,99.1,186.6,66.5,56.1,2758,4,121,3.54,3.07,9.3,5250,21,28,15510,110
3,150,2,99.1,186.6,66.5,56.1,2808,4,121,3.54,3.07,9,5500,19,26,18150,160
2,104,4,99.1,186.6,66.5,56.1,2847,4,121,3.54,3.07,9,5500,19,26,18620,160
2,83,2,93.7,156.9,63.4,53.7,2050,4,97,3.62,2.36,9,4900,31,36,5118,69
2,83,2,93.7,157.9,63.6,53.7,2120,4,108,3.62,2.64,8.7,4400,26,31,7053,73
2,83,2,93.3,157.3,63.8,55.7,2240,4,108,3.62,2.64,8.7,4400,26,31,7603,73
0,102,4,97.2,172,65.4,52.5,2145,4,108,3.62,2.64,9.5,4800,32,37,7126,82
0,102,4,97.2,172,65.4,52.5,2190,4,108,3.62,2.64,9.5,4400,28,33,7775,82
0,102,4,97.2,172,65.4,52.5,2340,4,108,3.62,2.64,9,5200,26,32,9960,94
0,102,4,97,172,65.4,54.3,2385,4,108,3.62,2.64,9,4800,24,25,9233,82
0,102,4,97,172,65.4,54.3,2510,4,108,3.62,2.64,7.7,4800,24,29,11259,111
0,89,4,97,173.5,65.4,53,2290,4,108,3.62,2.64,9,4800,28,32,7463,82
0,89,4,97,173.5,65.4,53,2455,4,108,3.62,2.64,9,5200,25,31,10198,94
0,85,4,96.9,173.6,65.4,54.9,2420,4,108,3.62,2.64,9,4800,23,29,8013,82
0,85,4,96.9,173.6,65.4,54.9,2650,4,108,3.62,2.64,7.7,4800,23,23,11694,111
1,87,2,95.7,158.7,63.6,54.5,1985,4,92,3.05,3.03,9,4800,35,39,5348,62
1,87,2,95.7,158.7,63.6,54.5,2040,4,92,3.05,3.03,9,4800,31,38,6338,62
1,74,4,95.7,158.7,63.6,54.5,2015,4,92,3.05,3.03,9,4800,31,38,6488,62
0,77,4,95.7,169.7,63.6,59.1,2280,4,92,3.05,3.03,9,4800,31,37,6918,62
0,81,4,95.7,169.7,63.6,59.1,2290,4,92,3.05,3.03,9,4800,27,32,7898,62
0,91,4,95.7,169.7,63.6,59.1,3110,4,92,3.05,3.03,9,4800,27,32,8778,62
0,91,4,95.7,166.3,64.4,53,2081,4,98,3.19,3.03,9,4800,30,37,6938,70
0,91,4,95.7,166.3,64.4,52.8,2109,4,98,3.19,3.03,9,4800,30,37,7198,70
0,91,4,95.7,166.3,64.4,53,2275,4,110,3.27,3.35,22.5,4500,34,36,7898,56
0,91,4,95.7,166.3,64.4,52.8,2275,4,110,3.27,3.35,22.5,4500,38,47,7788,56
0,91,4,95.7,166.3,64.4,53,2094,4,98,3.19,3.03,9,4800,38,47,7738,70
0,91,4,95.7,166.3,64.4,52.8,2122,4,98,3.19,3.03,9,4800,28,34,8358,70
0,91,4,95.7,166.3,64.4,52.8,2140,4,98,3.19,3.03,9,4800,28,34,9258,70
1,168,2,94.5,168.7,64,52.6,2169,4,98,3.19,3.03,9,4800,29,34,8058,70
1,168,2,94.5,168.7,64,52.6,2204,4,98,3.19,3.03,9,4800,29,34,8238,70
1,168,2,94.5,168.7,64,52.6,2265,4,98,3.24,3.08,9.4,6600,26,29,9298,112
1,168,2,94.5,168.7,64,52.6,2300,4,98,3.24,3.08,9.4,6600,26,29,9538,112
2,134,2,98.4,176.2,65.6,52,2540,4,146,3.62,3.5,9.3,4800,24,30,8449,116
2,134,2,98.4,176.2,65.6,52,2536,4,146,3.62,3.5,9.3,4800,24,30,9639,116
2,134,2,98.4,176.2,65.6,52,2551,4,146,3.62,3.5,9.3,4800,24,30,9989,116
2,134,2,98.4,176.2,65.6,52,2679,4,146,3.62,3.5,9.3,4800,24,30,11199,116
2,134,2,98.4,176.2,65.6,52,2714,4,146,3.62,3.5,9.3,4800,24,30,11549,116
2,134,2,98.4,176.2,65.6,53,2975,4,146,3.62,3.5,9.3,4800,24,30,17669,116
-1,65,4,102.4,175.6,66.5,54.9,2326,4,122,3.31,3.54,8.7,4200,29,34,8948,92
-1,65,4,102.4,175.6,66.5,54.9,2480,4,110,3.27,3.35,22.5,4500,30,33,10698,73
-1,65,4,102.4,175.6,66.5,53.9,2414,4,122,3.31,3.54,8.7,4200,27,32,9988,92
-1,65,4,102.4,175.6,66.5,54.9,2414,4,122,3.31,3.54,8.7,4200,27,32,10898,92
-1,65,4,102.4,175.6,66.5,53.9,2458,4,122,3.31,3.54,8.7,4200,27,32,11248,92
3,197,2,102.9,183.5,67.7,52,2976,6,171,3.27,3.35,9.3,5200,20,24,16558,161
3,197,2,102.9,183.5,67.7,52,3016,6,171,3.27,3.35,9.3,5200,19,24,15998,161
-1,90,4,104.5,187.8,66.5,54.1,3131,6,171,3.27,3.35,9.2,5200,20,24,15690,156
2,122,2,97.3,171.7,65.5,55.7,2261,4,97,3.01,3.4,23,4800,37,46,7775,52
2,122,2,97.3,171.7,65.5,55.7,2209,4,109,3.19,3.4,9,5250,27,34,7975,85
2,94,4,97.3,171.7,65.5,55.7,2264,4,97,3.01,3.4,23,4800,37,46,7995,52
2,94,4,97.3,171.7,65.5,55.7,2212,4,109,3.19,3.4,9,5250,27,34,8195,85
2,94,4,97.3,171.7,65.5,55.7,2275,4,109,3.19,3.4,9,5250,27,34,8495,85
2,94,4,97.3,171.7,65.5,55.7,2319,4,97,3.01,3.4,23,4500,37,42,9495,68
2,94,4,97.3,171.7,65.5,55.7,2300,4,109,3.19,3.4,10,5500,26,32,9995,100
3,256,2,94.5,165.7,64,51.4,2221,4,109,3.19,3.4,8.5,5500,24,29,9980,90
-2,103,4,104.3,188.8,67.2,56.2,2912,4,141,3.78,3.15,9.5,5400,23,28,12940,114
-1,74,4,104.3,188.8,67.2,57.5,3034,4,141,3.78,3.15,9.5,5400,23,28,13415,114
-2,103,4,104.3,188.8,67.2,56.2,2935,4,141,3.78,3.15,9.5,5400,24,28,15985,114
-1,74,4,104.3,188.8,67.2,57.5,3042,4,141,3.78,3.15,9.5,5400,24,28,16515,114
-2,103,4,104.3,188.8,67.2,56.2,3045,4,130,3.62,3.15,7.5,5100,17,22,18420,162
-1,74,4,104.3,188.8,67.2,57.5,3157,4,130,3.62,3.15,7.5,5100,17,22,18950,162
-1,95,4,109.1,188.8,68.9,55.5,2952,4,141,3.78,3.15,9.5,5400,23,28,16845,114
-1,95,4,109.1,188.8,68.8,55.5,3049,4,141,3.78,3.15,8.7,5300,19,25,19045,160
-1,95,4,109.1,188.8,68.9,55.5,3012,6,173,3.58,2.87,8.8,5500,18,23,21485,134
-1,95,4,109.1,188.8,68.9,55.5,3217,6,145,3.01,3.4,23,4800,26,27,22470,106
-1,95,4,109.1,188.8,68.9,55.5,3062,4,141,3.78,3.15,9.5,5400,19,25,22625,114
